diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
D690,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions"
L029,L00-L99,Diseases of the skin and subcutaneous tissue,L00-L08,Infections of the skin and subcutaneous tissue,L00-L08,Infections of the skin and subcutaneous tissue
M8699,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M86-M90,Other osteopathies
Z038,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
C920,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Z832,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z978,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
N051,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
D477,C00-D48,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour,D37-D48,Neoplasms of uncertain or unknown behaviour
A169,A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15-A19,Tuberculosis
R101,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
E86,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
M4149,M00-M99,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies,M40-M43,Deforming dorsopathies
Q718,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
Z923,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E039,E00-E90,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E00-E07,Disorders of thyroid gland
R568,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
H162,H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H15-H22,"Disorders of sclera, cornea, iris and ciliary body"
Irc,,,,,,
I722,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
I422,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
H55,H00-H59,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H55-H59,Other disorders of eye and adnexa
R630,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
R062,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
P599,P00-P96,Certain conditions originating in the perinatal period,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn
H188,H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H15-H22,"Disorders of sclera, cornea, iris and ciliary body"
Z864,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q539,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
I370,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
I288,I00-I99,Diseases of the circulatory system,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation
E030,E00-E90,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E00-E07,Disorders of thyroid gland
Z944,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M310,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
Q336,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q30-Q34,Congenital malformations of the respiratory system,Q30-Q34,Congenital malformations of the respiratory system
H209,H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H15-H22,"Disorders of sclera, cornea, iris and ciliary body"
J47,J00-J99,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J40-J47,Chronic lower respiratory diseases
P788,P00-P96,Certain conditions originating in the perinatal period,P75-P78,Digestive system disorders of fetus and newborn,P75-P78,Digestive system disorders of fetus and newborn
Z822,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R15,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
U839,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
B24,A00-B99,Certain infectious and parasitic diseases,B20-B24,Human immunodeficiency virus [HIV] disease,B20-B24,Human immunodeficiency virus [HIV] disease
I652,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
H500,H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
B956,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
N139,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
T79,S00-T98,"Injury, poisoning and certain other consequences of external causes",T79-T79,Certain early complications of trauma,T79-T79,Certain early complications of trauma
N329,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
N258,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
I119,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
G08,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G00-G09,Inflammatory diseases of the central nervous system
M6240,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M60-M63,Disorders of muscles
R51,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
K659,K00-K93,Diseases of the digestive system,K65-K67,Diseases of peritoneum,K65-K67,Diseases of peritoneum
C494,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue
M7910,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M70-M79,Other soft tissue disorders
Y418,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
G919,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
K509,K00-K93,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K50-K52,Noninfective enteritis and colitis
Q600,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
